Date,Area,Category,Phase
1981-07-09,0.4908,2,0.2454
1981-07-10,0.5589,3,0.2794
1981-07-11,0.627,3,0.3135
1981-07-12,0.6951,3,0.3475
1981-07-13,0.7632,3,0.3816
1981-07-14,0.8313,3,0.4156
1981-07-15,0.8994,4,0.4497
1981-07-16,0.9675,4,0.4837
1981-07-17,0.9644,4,0.5178
1981-07-18,0.8963,4,0.5518
1981-07-19,0.8282,5,0.5859
1981-07-20,0.7601,5,0.6199
1981-07-21,0.692,5,0.654
1981-07-22,0.6239,6,0.6881
1981-07-23,0.5558,6,0.7221
1981-07-24,0.4877,6,0.7562
1981-07-25,0.4196,7,0.7902
1981-07-26,0.3515,7,0.8243
1981-07-27,0.2834,7,0.8583
1981-07-28,0.2153,7,0.8924
1981-07-29,0.1472,7,0.9264
1981-07-30,0.0791,0,0.9605
1981-07-31,0.011,0,0.9945
1981-08-01,0.057,0,0.0285
1981-08-02,0.1249,0,0.0624
1981-08-03,0.1928,1,0.0964
1981-08-04,0.2607,1,0.1303
1981-08-05,0.3286,1,0.1643
1981-08-06,0.3965,2,0.1982
1981-08-07,0.4644,2,0.2322
1981-08-08,0.5323,3,0.2662
1981-08-09,0.6002,3,0.3001
1981-08-10,0.6681,3,0.3341
1981-08-11,0.736,3,0.368
1981-08-12,0.8039,3,0.402
1981-08-13,0.8718,3,0.4359
1981-08-14,0.9397,4,0.4699
1981-08-15,0.9923,4,0.5038
1981-08-16,0.9244,4,0.5378
1981-08-17,0.8565,5,0.5717
1981-08-18,0.7886,5,0.6057
1981-08-19,0.7207,5,0.6396
1981-08-20,0.6528,5,0.6736
1981-08-21,0.5849,6,0.7075
1981-08-22,0.517,6,0.7415
1981-08-23,0.4491,7,0.7755
1981-08-24,0.3812,7,0.8094
1981-08-25,0.3133,7,0.8434
1981-08-26,0.2454,7,0.8773
1981-08-27,0.1775,7,0.9113
1981-08-28,0.1096,0,0.9452
1981-08-29,0.0417,0,0.9792
1981-08-30,0.0262,0,0.0131
1981-08-31,0.0938,0,0.0469
1981-09-01,0.1615,1,0.0807
1981-09-02,0.2291,1,0.1146
1981-09-03,0.2968,1,0.1484
1981-09-04,0.3645,1,0.1822
1981-09-05,0.4321,2,0.2161
1981-09-06,0.4998,2,0.2499
1981-09-07,0.5675,3,0.2837
1981-09-08,0.6351,3,0.3176
1981-09-09,0.7028,3,0.3514
1981-09-10,0.7704,3,0.3852
1981-09-11,0.8381,3,0.4191
1981-09-12,0.9058,4,0.4529
1981-09-13,0.9734,4,0.4867
1981-09-14,0.9589,4,0.5206
1981-09-15,0.8912,4,0.5544
1981-09-16,0.8236,5,0.5882
1981-09-17,0.7559,5,0.622
1981-09-18,0.6882,5,0.6559
1981-09-19,0.6206,6,0.6897
1981-09-20,0.5529,6,0.7235
1981-09-21,0.4853,6,0.7574
1981-09-22,0.4176,7,0.7912
1981-09-23,0.3499,7,0.825
1981-09-24,0.2823,7,0.8589
1981-09-25,0.2146,7,0.8927
1981-09-26,0.1469,7,0.9265
1981-09-27,0.0793,0,0.9604
1981-09-28,0.0116,0,0.9942
1981-09-29,0.0558,0,0.0279
1981-09-30,0.1232,0,0.0616
1981-10-01,0.1906,1,0.0953
1981-10-02,0.2581,1,0.129
1981-10-03,0.3255,1,0.1627
1981-10-04,0.3929,2,0.1964
1981-10-05,0.4603,2,0.2301
1981-10-06,0.5277,3,0.2638
1981-10-07,0.5951,3,0.2975
1981-10-08,0.6625,3,0.3312
1981-10-09,0.7299,3,0.3649
1981-10-10,0.7973,3,0.3987
1981-10-11,0.8647,3,0.4324
1981-10-12,0.9321,4,0.4661
1981-10-13,0.9995,4,0.4998
1981-10-14,0.9331,4,0.5335
1981-10-15,0.8657,5,0.5672
1981-10-16,0.7983,5,0.6009
1981-10-17,0.7309,5,0.6346
1981-10-18,0.6634,5,0.6683
1981-10-19,0.596,6,0.702
1981-10-20,0.5286,6,0.7357
1981-10-21,0.4612,7,0.7694
1981-10-22,0.3938,7,0.8031
1981-10-23,0.3264,7,0.8368
1981-10-24,0.259,7,0.8705
1981-10-25,0.1916,7,0.9042
1981-10-26,0.1242,0,0.9379
1981-10-27,0.0568,0,0.9716
1981-10-28,0.0106,0,0.0053
1981-10-29,0.0778,0,0.0389
1981-10-30,0.145,1,0.0725
1981-10-31,0.2121,1,0.1061
1981-11-01,0.2793,1,0.1397
1981-11-02,0.3465,1,0.1733
1981-11-03,0.4137,2,0.2069
1981-11-04,0.4809,2,0.2404
1981-11-05,0.5481,3,0.274
1981-11-06,0.6153,3,0.3076
1981-11-07,0.6825,3,0.3412
1981-11-08,0.7496,3,0.3748
1981-11-09,0.8168,3,0.4084
1981-11-10,0.884,4,0.442
1981-11-11,0.9512,4,0.4756
1981-11-12,0.9816,4,0.5092
1981-11-13,0.9144,4,0.5428
1981-11-14,0.8472,5,0.5764
1981-11-15,0.78,5,0.61
1981-11-16,0.7129,5,0.6436
1981-11-17,0.6457,5,0.6772
1981-11-18,0.5785,6,0.7108
1981-11-19,0.5113,6,0.7444
1981-11-20,0.4441,7,0.7779
1981-11-21,0.3769,7,0.8115
1981-11-22,0.3097,7,0.8451
1981-11-23,0.2425,7,0.8787
1981-11-24,0.1754,7,0.9123
1981-11-25,0.1082,0,0.9459
1981-11-26,0.041,0,0.9795
1981-11-27,0.0262,0,0.0131
1981-11-28,0.0932,0,0.0466
1981-11-29,0.1603,1,0.0802
1981-11-30,0.2274,1,0.1137
1981-12-01,0.2945,1,0.1472
1981-12-02,0.3616,1,0.1808
1981-12-03,0.4287,2,0.2143
1981-12-04,0.4957,2,0.2479
1981-12-05,0.5628,3,0.2814
1981-12-06,0.6299,3,0.315
1981-12-07,0.697,3,0.3485
1981-12-08,0.7641,3,0.382
1981-12-09,0.8312,3,0.4156
1981-12-10,0.8982,4,0.4491
1981-12-11,0.9653,4,0.4827
1981-12-12,0.9676,4,0.5162
1981-12-13,0.9005,4,0.5497
1981-12-14,0.8334,5,0.5833
1981-12-15,0.7663,5,0.6168
1981-12-16,0.6993,5,0.6504
1981-12-17,0.6322,5,0.6839
1981-12-18,0.5651,6,0.7175
1981-12-19,0.498,6,0.751
1981-12-20,0.4309,7,0.7845
1981-12-21,0.3638,7,0.8181
1981-12-22,0.2968,7,0.8516
1981-12-23,0.2297,7,0.8852
1981-12-24,0.1626,7,0.9187
1981-12-25,0.0955,0,0.9522
1981-12-26,0.0284,0,0.9858
1981-12-27,0.0387,0,0.0194
1981-12-28,0.1059,0,0.0529
1981-12-29,0.173,1,0.0865
1981-12-30,0.2402,1,0.1201
1981-12-31,0.3073,1,0.1537
1982-01-01,0.3745,1,0.1872
1982-01-02,0.4416,2,0.2208
1982-01-03,0.5088,2,0.2544
1982-01-04,0.5759,3,0.288
1982-01-05,0.6431,3,0.3216
1982-01-06,0.7103,3,0.3551
1982-01-07,0.7774,3,0.3887
1982-01-08,0.8446,3,0.4223
1982-01-09,0.9117,4,0.4559
1982-01-10,0.9789,4,0.4894
1982-01-11,0.954,4,0.523
1982-01-12,0.8868,4,0.5566
1982-01-13,0.8197,5,0.5902
1982-01-14,0.7525,5,0.6237
1982-01-15,0.6854,5,0.6573
1982-01-16,0.6182,6,0.6909
1982-01-17,0.551,6,0.7245
1982-01-18,0.4839,6,0.7581
1982-01-19,0.4167,7,0.7916
1982-01-20,0.3496,7,0.8252
